dialog_id,emotion,len
tr_4466,happy,9
tr_7536,angry,10
tr_754,happy,8
tr_4110,happy,5
tr_3432,happy,5
tr_943,disgust,17
tr_3894,surprise,6
tr_1561,disgust,13
tr_4533,surprise,12
tr_5297,sad,14
tr_19,happy,6
tr_4248,happy,13
tr_2317,happy,11
tr_1452,happy,9
tr_3694,surprise,21
tr_1711,happy,17
tr_264,angry,9
tr_1146,sad,4
tr_2469,fear,19
tr_692,happy,6
tr_3807,happy,10
tr_5174,angry,17
tr_3821,happy,5
tr_4915,happy,8
tr_654,happy,8
tr_513,happy,16
tr_3580,happy,6
tr_4974,happy,28
tr_5766,happy,8
tr_4181,happy,6
tr_2813,happy,5
tr_1566,angry,19
tr_1975,happy,12
tr_398,angry,10
tr_4127,happy,6
tr_58,happy,8
tr_1902,happy,5
tr_6618,happy,7
tr_13,happy,4
tr_2232,sad,10
tr_4756,surprise,9
tr_4502,happy,6
tr_2908,happy,10
tr_6500,angry,11
tr_2122,happy,15
tr_1464,happy,5
tr_2652,sad,11
tr_2657,happy,4
tr_914,angry,17
tr_2135,happy,4
tr_534,sad,15
tr_2179,surprise,8
tr_2816,angry,3
tr_4464,happy,12
tr_402,happy,5
tr_924,happy,8
tr_1684,happy,5
tr_1086,happy,5
tr_6324,happy,12
tr_154,happy,9
tr_4747,happy,4
tr_3734,surprise,8
tr_5307,happy,4
tr_802,happy,11
tr_3620,happy,13
tr_786,happy,10
tr_1470,happy,6
tr_3449,happy,5
tr_3386,happy,11
tr_4434,happy,8
tr_6265,angry,12
tr_1474,happy,7
tr_2767,disgust,6
tr_4103,happy,8
tr_3192,happy,12
tr_1614,sad,13
tr_2511,angry,13
tr_4080,happy,10
tr_3025,happy,8
tr_1531,happy,7
tr_3477,happy,9
tr_774,happy,7
tr_2217,happy,18
tr_5190,surprise,20
tr_109,happy,7
tr_1026,happy,9
tr_2105,happy,14
tr_3357,happy,7
tr_1569,happy,11
tr_4182,happy,12
tr_3399,happy,4
tr_1522,happy,7
tr_3588,surprise,10
tr_4339,happy,6
tr_7105,happy,8
tr_2535,happy,7
tr_5706,angry,6
tr_3342,angry,9
tr_779,angry,4
tr_3753,happy,14
tr_3417,happy,12
tr_4201,happy,11
tr_3896,fear,11
tr_2968,happy,11
