dialog_id,turn,speaker,text,emotion,cause_turn,cause_span,cause_type,explanation
tr_4466,1,A,"Hey, you wanna see a movie tomorrow?",happy,[1],['see a movie tomorrow?'],['no-context'],
tr_4466,2,B,Sounds like a good plan. What do you want to see?,happy,[1],['see a movie tomorrow?'],['inter-personal'],
tr_4466,3,A,How about Legally Blonde.,neutral,,,,
tr_4466,4,B,"Ah, my girlfriend wanted to see that movie. I have to take her later so I don't want to watch it ahead of time. How about The Cube?",neutral,,,,
tr_4466,5,A,Isn't that a scary movie?,neutral,,,,
tr_4466,6,B,"How scary can it be? Come on, it'll be fun.",neutral,,,,
tr_4466,7,A,Ok. I'll give it a try.,happy,[6],"[""it'll be fun.""]",['inter-personal'],
tr_4466,8,B,That's the spirit. I'll see you tomorrow after class.,happy,"[6, 7]","[""it'll be fun."", ""Ok. I'll give it a try.""]",['hybrid'],
tr_4466,9,A,Ok. See you tomorrow.,happy,"[1, 6]","['see a movie tomorrow?', ""it'll be fun.""]",['hybrid'],
tr_7536,1,A,"Ann, it's terrible!",angry,['b'],['b'],['latent'],What is terrible is not mentioned.
tr_7536,2,B,What's up?,neutral,,,,
tr_7536,3,A,"Look, this is a pimple!",neutral,,,,
tr_7536,4,B,"Oh, I think it is.",neutral,,,,
tr_7536,5,A,How come?,neutral,,,,
tr_7536,6,B,I think it's because of your bad habits!,angry,[6],"[""it's because of your bad habits!""]",['no-context'],
tr_7536,7,A,"I have no bad habit. I sleep eight hours a day, never eat spicy food, clean the face twice a day and so on. I have done a lot.",neutral,,,,
tr_7536,8,B,"I know you have done a lot, but you always sleep very late. Sleeping eight hours a day doesn't mean it is healthy. Sleeping after 12 is hurtful to our body, and I think this is your problem.",neutral,,,,
tr_7536,9,A,I wasn't aware of that!,surprise,[8],"['Sleeping after 12 is hurtful to our body , and I think this is your problem.']",['inter-personal'],
tr_7536,10,B,You should do better later.,neutral,,,,
tr_754,1,A,What a great weekend that was!,happy,[1],['What a great weekend that was!'],['no-context'],
tr_754,2,B,My feelings exactly.,happy,[1],['What a great weekend that was!'],['inter-personal'],
tr_754,3,A,I really enjoy the beach in the summer.,happy,"[1, 3]","['What a great weekend that was!', 'I really enjoy the beach in the summer.']","['no-context', 'self-contagion']",
tr_754,4,B,I couldn't agree with you more.,happy,"[1, 1, 3]","['What a great weekend that was!', 'What a great weekend that was!', 'I really enjoy the beach in the summer.']",['inter-personal'],
tr_754,5,A,We should come here more often.,happy,"[1, 3]","['What a great weekend that was!', 'I really enjoy the beach in the summer.']",['self-contagion'],
tr_754,6,B,You are absolutely right.,happy,"[1, 1, 3]","['What a great weekend that was!', 'What a great weekend that was!', 'I really enjoy the beach in the summer.']",['inter-personal'],
tr_754,7,A,I'd like to come back next weekend.,happy,"[1, 3]","['What a great weekend that was!', 'I really enjoy the beach in the summer.']",['self-contagion'],
tr_754,8,B,That's exactly the way I feel.,happy,"[1, 3]","['What a great weekend that was!', 'I really enjoy the beach in the summer.']",['inter-personal'],
tr_4110,1,A,"Oh, it's getting late. I've got to run. It was nice talking to you, karren.",happy,[1],['It was nice talking to you'],['no-context'],
tr_4110,2,B,"Thanks, Tim. Nice meeting you, too.",happy,"[1, 2]","['It was nice talking to you', 'Nice meeting you']","['no-context', 'inter-personal']",
tr_4110,3,A,I guess we'll see each other around.,happy,[1],['It was nice talking to you'],['self-contagion'],
